cupper_points,aroma,flavor,aftertaste,acidity,sweetness,species,country_of_origin,variety,processing_method,color,altitude,unit
8.75,8.67,8.83,8.67,8.75,10,Arabica,Ethiopia,NA,Washed / Wet,Green,2075,m
8.58,8.75,8.67,8.5,8.58,10,Arabica,Ethiopia,Other,Washed / Wet,Green,2075,m
9.25,8.42,8.5,8.42,8.42,10,Arabica,Guatemala,Bourbon,NA,NA,1700,m
8.67,8.17,8.58,8.42,8.42,10,Arabica,Ethiopia,NA,Natural / Dry,Green,2000,m
8.58,8.25,8.5,8.25,8.5,10,Arabica,Ethiopia,Other,Washed / Wet,Green,2075,m
8.33,8.58,8.42,8.42,8.5,10,Arabica,Brazil,NA,Natural / Dry,Bluish-Green,NA,m
8.5,8.42,8.5,8.33,8.5,10,Arabica,Peru,Other,Washed / Wet,Bluish-Green,NA,m
9,8.25,8.33,8.5,8.42,9.33,Arabica,Ethiopia,NA,NA,NA,1635,m
8.67,8.67,8.67,8.58,8.42,9.33,Arabica,Ethiopia,NA,NA,NA,1635,m
8.5,8.08,8.58,8.5,8.5,10,Arabica,Ethiopia,Other,Natural / Dry,Green,1822.5,m
8.58,8.17,8.67,8.25,8.5,10,Arabica,Ethiopia,NA,Natural / Dry,NA,1905,m
8.5,8.25,8.42,8.17,8.33,10,Arabica,United States,Other,Washed / Wet,NA,1872,m
8.33,8.08,8.67,8.33,8.42,10,Arabica,United States,Other,Washed / Wet,NA,1943,m
8.58,8.33,8.42,8.08,8.25,10,Arabica,United States (Hawaii),NA,NA,NA,609.6,ft
8.5,8.25,8.33,8.5,8.25,9.33,Arabica,Ethiopia,NA,NA,NA,1635,m
8.17,8,8.5,8.58,8.17,10,Arabica,United States,Other,Washed / Wet,NA,2080,m
8.33,8.33,8.25,7.83,7.75,10,Arabica,Indonesia,NA,NA,NA,1500,m
8.83,8.17,8.33,8.25,8.33,9.33,Arabica,Ethiopia,NA,NA,NA,NA,m
8.42,8.42,8.25,8.08,8.17,10,Arabica,China,Catimor,Washed / Wet,Green,1450,m
8.33,8.17,8.17,8,8.17,10,Arabica,Ethiopia,Ethiopian Yirgacheffe,Natural / Dry,NA,1850,m
8.17,8,8.25,8.08,8.5,10,Arabica,United States,Other,Washed / Wet,None,2019,m
8.33,8.08,8.25,8,8.17,10,Arabica,Costa Rica,Caturra,Washed / Wet,Green,1300,m
8.58,8.17,8.25,8.17,8,10,Arabica,Mexico,Other,Washed / Wet,Green,1320,m
8.17,8.25,8.33,8.17,8.17,10,Arabica,United States,Other,Washed / Wet,NA,2112,m
8.08,8.42,8.17,7.92,8.17,10,Arabica,Ethiopia,NA,Natural / Dry,Bluish-Green,NA,m
7.92,8.5,8.5,8,8,10,Arabica,Brazil,Bourbon,Natural / Dry,Green,1250,m
8.25,7.83,8.25,8.08,8.17,10,Arabica,Ethiopia,NA,NA,NA,NA,m
8.17,8.42,8.17,8.17,8.17,10,Arabica,Uganda,SL14,Washed / Wet,Green,1950,m
